Home,1h,Th,Away,1w,Tw
Georgia,30,71,Oregon,40,82
Brown,31,70,Colgate,31,72
Chicago St.,21,41,Bowling Green,32,70
The Citadel,27,59,NC State,36,72
Columbia,27,59,Providence,42,78
Delaware,44,78,Bucknell,25,57
Delaware St.,18,45,Penn St.,39,79
Hampton,36,80,Howard,40,92
Holy Cross,28,71,Siena,38,73
Lafayette,35,60,Saint Joseph's,38,81
Maine,27,52,Charlotte,34,69
Monmouth,23,61,George Mason,29,72
Missouri St.,30,59,West Virginia,24,67
Niagara,30,63,Notre Dame,29,70
Oakland,35,73,Ohio St.,34,79
Princeton,32,68,Rutgers,28,61
SIUE,24,47,Dayton,27,63
UMBC,48,93,Louisville,40,94
VMI,36,75,Richmond,55,93
Winthrop,24,56,Clemson,33,78
Cornell,39,84,Lehigh,44,78
FDU,54,92,Buffalo,44,86
Georgia St.,45,87,Belmont,47,89
Lipscomb,31,59,Wichita St.,44,76
Manhattan,35,61,Bryant,33,59
Merrimack,20,55,Vermont,36,67
Towson,24,57,Colorado,28,75
Wagner,31,64,Fordham,23,68
Alabama St.,30,59,Ole Miss,35,69
Ark.-Pine Bluff,40,79,Missouri,57,101
Arkansas St.,41,76,Wisconsin,56,105
Binghamton,39,61,Northwestern,36,72
Bradley,40,73,UAB,24,71
Boston U.,34,58,Northeastern,31,67
Elon,55,78,Wake Forest,43,101
Fairfield,34,70,Boston College,46,89
FIU,21,62,UCF,43,85
Jackson St.,36,77,Memphis,47,94
Navy,18,48,Campbell,32,59
Oral Roberts,36,71,UT Arlington,31,75
Robert Morris,33,63,Xavier,39,77
Texas St.,34,66,Little Rock,38,71
Green Bay,18,44,Iowa St.,49,85
Youngstown St.,31,62,Louisiana,35,72
UIC,30,58,Cincinnati,40,69
Southern U.,35,75,TCU,54,108
Portland St.,31,62,Air Force,27,55
Sam Houston,25,64,Pacific,25,57
Idaho,28,59,Washington St.,41,84
Drexel,32,61,La Salle,32,67
FGCU,26,63,Indiana,28,69
North Dakota,32,68,Iowa,56,110
Presbyterian,24,68,Vanderbilt,28,62
Sacramento St.,30,63,Nevada,39,77
UC Irvine,24,64,San Jose St.,24,72
Bucknell,33,61,Penn,53,80
Canisius,32,77,Syracuse,41,89
Troy,28,70,Ohio,43,88
Lipscomb,48,70,Drake,44,85
Jackson St.,39,61,San Diego,35,87
Southern U.,40,85,UNLV,21,71
Pepperdine,48,78,UC Davis,31,79
American,24,56,William & Mary,35,75
ETSU,28,76,Elon,39,79
Fairfield,24,80,Rhode Island,49,93
James Madison,43,113,Kent St.,38,108
Northwestern St.,40,71,Tulane,48,88
North Florida,33,81,Charleston So.,37,70
Utah Valley,24,79,Sam Houston,27,73
Florida A&M,25,54,Nebraska,41,81
Mercer,33,66,Chicago St.,30,61
Towson,35,70,Coppin St.,24,49
Cal Poly,33,76,Denver,51,97
Air Force,43,82,LIU,27,67
Liberty,35,71,Charlotte,23,59
Kennesaw St.,34,67,Florida St.,49,94
UMass Lowell,49,81,Dartmouth,19,48
Jacksonville,26,56,Xavier,37,79
Penn,20,61,Saint Joseph's,33,69
Youngstown St.,23,62,Michigan,46,92
Boston College,35,75,The Citadel,38,71
Belmont,31,76,Furman,46,99
Binghamton,32,60,Pittsburgh,40,89
Boston U.,22,45,Rutgers,30,69
Chattanooga,33,81,Louisville,27,71
Davidson,33,64,Maryland,32,61
Monmouth,32,73,West Virginia,33,65
Austin Peay,15,45,George Mason,42,67
Princeton,30,74,Hofstra,29,67
Radford,33,66,Marshall,23,62
Sacred Heart,40,81,Iona,39,88
Samford,34,65,VCU,31,75
Troy,32,80,Oregon St.,32,81
Virginia,39,73,Florida,35,70
Wake Forest,36,77,Georgia,40,80
Lehigh,38,65,Penn St.,38,74
UTSA,30,76,Minnesota,54,102
Alabama St.,37,67,Iowa,49,98
Grambling,20,63,Colorado,50,95
Harvard,43,89,Rice,33,76
Little Rock,25,71,UIC,38,86
Dayton,25,66,Northwestern,35,71
Temple,41,75,Navy,26,68
IUPUI,21,66,Valparaiso,25,56
Memphis,26,70,Missouri,33,55
Montana,37,61,Oregon,37,75
Sacramento St.,39,73,Stanford,47,91
Clemson,39,77,UAB,42,76
Prairie View,30,65,Washington St.,43,83
UC Riverside,13,53,Utah,48,82
Lafayette,33,50,UCLA,30,68
Pacific,40,87,California,38,79
